"zcta5","county","pop2k","afact"
"ZIP Census Tabulation Area","county","Total Pop, 2000 census","zcta5 to county alloc factor"
"67756","20023",2346,1 
"67757","20039",101,0.21 
"67757","20179",381,0.79 
"67758","20199",1222,1 
"67761","20109",83,0.3 
"67761","20199",194,0.7 
"67762","20199",333,1 
"67764","20109",409,0.934 
"67764","20193",29,0.066 
"677XX","20063",3,0.042 
"677XX","20193",69,0.958 
"67801","20055",2,0 
"67801","20057",29152,0.998 
"67801","20083",56,0.002 
"67831","20025",1249,1 
"67834","20025",35,0.036 
"67834","20057",929,0.961 
"67834","20097",3,0.003 
"67835","20055",80,0.03 
"67835","20069",2575,0.97 
"67836","20075",120,1 
"67837","20069",484,0.525 
"67837","20081",390,0.423 
"67837","20119",48,0.052 
"67838","20055",48,0.038 
"67838","20093",1210,0.962 
"67839","20063",21,0.012 
"67839","20101",1752,0.988 
"67840","20025",134,1 
"67841","20057",52,0.147 
"67841","20069",301,0.853 
"67842","20025",11,0.021 
"67842","20057",519,0.979 
"67844","20057",48,0.054 
"67844","20069",14,0.016 
"67844","20119",835,0.931 
"67846","20055",37522,0.999 
"67846","20069",29,0.001 
"67846","20101",15,0 
"67849","20083",419,0.979 
"67849","20135",9,0.021 
"67850","20063",6,0.016 
"67850","20101",357,0.922 
"67850","20171",24,0.062 
"67851","20055",2678,1 
"67853","20069",877,1 
"67854","20083",1416,1 
"67855","20067",11,0.005 
"67855","20129",41,0.019 
"67855","20187",2068,0.975 
"67857","20075",146,0.621 
"67857","20093",89,0.379 
"67859","20175",783,1 
"67860","20093",3170,1 
"67861","20109",12,0.006 
"67861","20203",2137,0.994 
"67862","20187",338,1 
"67863","20203",364,1 
"67864","20119",2246,1 
"67865","20025",917,0.866 
"67865","20057",142,0.134 
"67867","20069",1624,0.98 
"67867","20119",33,0.02 
"67868","20055",122,1 
"67869","20119",1469,0.955 
"67869","20175",69,0.045 
"67870","20067",44,0.022 
"67870","20081",1833,0.934 
"67870","20175",85,0.043 
"67871","20055",43,0.008 
"67871","20109",23,0.004 
"67871","20171",5096,0.982 
"67871","20203",29,0.006 
"67876","20057",1157,0.941 
"67876","20083",72,0.059 
"67877","20081",2084,0.972 
"67877","20175",59,0.028 
"67878","20075",2390,1 
"67879","20071",1456,1 
"67880","20067",7854,0.994 
"67880","20093",48,0.006 
"67882","20057",387,1 
"678XX","20025",10,0.067 
"678XX","20055",28,0.187 
"678XX","20063",4,0.027 
"678XX","20071",78,0.52 
"678XX","20075",14,0.093 
"678XX","20093",14,0.093 
"678XX","20109",1,0.007 
"678XX","20203",1,0.007 
"67901","20175",21514,0.996 
"67901","20189",97,0.004 
"67950","20129",2510,1 
"67951","20189",4622,1 
"67952","20189",712,1 
"67953","20129",163,1 
"67954","20129",711,0.957 
"67954","20189",32,0.043 
"679XX","20129",71,1 
