"zcta5","county","pop2k","afact"
"ZIP Census Tabulation Area","county","Total Pop, 2000 census","zcta5 to county alloc factor"
"63448","29111",1679,1 
"63450","29137",44,0.247 
"63450","29205",134,0.753 
"63451","29103",27,0.091 
"63451","29205",270,0.909 
"63452","29111",1197,1 
"63453","29045",496,1 
"63454","29111",372,0.428 
"63454","29127",497,0.572 
"63456","29127",1116,0.265 
"63456","29137",2537,0.603 
"63456","29173",555,0.132 
"63457","29111",289,1 
"63458","29103",229,1 
"63459","29163",79,0.021 
"63459","29173",3723,0.979 
"63460","29103",344,1 
"63461","29127",5571,1 
"63462","29137",229,0.159 
"63462","29173",1214,0.841 
"63463","29127",639,0.994 
"63463","29205",4,0.006 
"63464","29103",43,1 
"63465","29045",508,1 
"63468","29137",297,0.101 
"63468","29205",2652,0.899 
"63469","29103",3,0.002 
"63469","29205",1232,0.998 
"63471","29111",61,0.092 
"63471","29127",601,0.908 
"63472","29045",511,1 
"63473","29045",67,0.238 
"63473","29111",215,0.762 
"63474","29045",598,0.957 
"63474","29111",15,0.024 
"63474","29199",12,0.019 
"63501","29001",21110,1 
"63530","29121",987,1 
"63531","29103",397,0.705 
"63531","29199",166,0.295 
"63532","29121",1367,1 
"63533","29001",819,0.987 
"63533","29103",11,0.013 
"63534","29121",816,0.971 
"63534","29175",24,0.029 
"63535","29171",7,0.073 
"63535","29197",89,0.927 
"63536","29197",701,0.824 
"63536","29199",150,0.176 
"63537","29103",1910,1 
"63538","29121",293,1 
"63539","29121",289,1 
"63540","29001",160,1 
"63541","29197",420,1 
"63543","29199",412,1 
"63544","29001",371,0.425 
"63544","29171",33,0.038 
"63544","29211",468,0.537 
"63545","29211",1175,1 
"63546","29001",866,0.612 
"63546","29197",543,0.383 
"63546","29199",7,0.005 
"63547","29001",33,0.054 
"63547","29103",574,0.946 
"63548","29197",1255,1 
"63549","29001",232,0.09 
"63549","29121",2353,0.91 
"63551","29171",445,1 
"63552","29121",7868,1 
"63555","29199",3309,1 
"63556","29211",3933,1 
"63557","29115",232,0.835 
"63557","29121",41,0.147 
"63557","29211",5,0.018 
"63558","29041",228,0.281 
"63558","29121",583,0.719 
"63559","29001",1386,0.955 
"63559","29171",66,0.045 
"63560","29171",14,0.05 
"63560","29211",264,0.95 
"63561","29197",1162,1 
"63563","29103",205,0.372 
"63563","29199",346,0.628 
"63565","29171",3925,0.994 
"63565","29211",23,0.006 
"63566","29115",39,0.574 
"63566","29211",29,0.426 
"63567","29171",145,1 
"63601","29187",15604,1 
"63620","29093",1172,0.834 
"63620","29123",161,0.115 
"63620","29179",72,0.051 
"63621","29093",1139,0.932 
"63621","29123",83,0.068 
"63622","29221",904,1 
"63623","29093",823,1 
"63624","29093",162,0.045 
"63624","29187",2959,0.826 
"63624","29221",462,0.129 
"63625","29093",50,0.093 
"63625","29179",488,0.907 
"63626","29187",89,0.627 
"63626","29221",53,0.373 
"63627","29099",220,0.079 
"63627","29186",2549,0.921 
"63628","29186",137,0.012 
"63628","29187",11349,0.973 
"63628","29221",181,0.016 
"63629","29065",364,0.257 
"63629","29179",897,0.633 
"63629","29203",155,0.109 
"63630","29221",4224,1 
"63631","29093",184,0.193 
"63631","29221",769,0.807 
"63633","29179",712,1 
"63636","29093",595,0.87 
"63636","29123",58,0.085 
"63636","29223",31,0.045 
"63637","29187",807,1 
"63638","29179",2856,0.981 
"63638","29203",54,0.019 
"63640","29186",1164,0.052 
"63640","29187",21420,0.948 
"63645","29123",10316,0.963 
"63645","29186",154,0.014 
"63645","29187",243,0.023 
"63648","29187",102,0.075 
"63648","29221",1253,0.925 
"63650","29093",4193,0.897 
"63650","29123",78,0.017 
"63650","29187",401,0.086 
"63653","29187",1045,1 
"63654","29093",9,0.017 
"63654","29179",533,0.983 
"63655","29017",401,0.252 
"63655","29123",1073,0.673 
"63655","29223",120,0.075 
"63656","29093",358,0.762 
"63656","29179",112,0.238 
"63660","29221",4155,1 
