"zcta5","county","pop2k","afact"
"ZIP Census Tabulation Area","county","Total Pop, 2000 census","zcta5 to county alloc factor"
"65011","29141",2016,0.95 
"65013","29125",2464,0.766 
"65013","29151",754,0.234 
"65014","29073",1844,0.785 
"65014","29125",125,0.053 
"65014","29151",379,0.161 
"65016","29151",1265,1 
"65017","29131",1472,1 
"65018","29053",77,0.01 
"65018","29135",7420,0.99 
"65020","29029",12165,1 
"65023","29051",1363,0.897 
"65023","29135",157,0.103 
"65024","29151",1200,1 
"65025","29053",199,0.244 
"65025","29135",618,0.756 
"65026","29131",12053,0.994 
"65026","29141",73,0.006 
"65032","29051",756,0.53 
"65032","29131",671,0.47 
"65034","29135",302,0.517 
"65034","29141",282,0.483 
"65035","29151",1599,1 
"65036","29073",252,1 
"65037","29029",794,0.17 
"65037","29141",3872,0.83 
"65039","29019",2081,0.965 
"65039","29027",75,0.035 
"65040","29051",999,0.79 
"65040","29131",266,0.21 
"65041","29073",5127,0.878 
"65041","29139",563,0.096 
"65041","29219",152,0.026 
"65043","29027",8948,1 
"65046","29135",1142,1 
"65047","29029",92,0.072 
"65047","29131",1179,0.928 
"65048","29151",144,1 
"65049","29029",3774,0.777 
"65049","29131",1084,0.223 
"65050","29135",567,1 
"65051","29073",5,0.001 
"65051","29151",4688,0.999 
"65052","29029",3146,1 
"65053","29051",1169,1 
"65054","29151",554,1 
"65058","29125",569,0.54 
"65058","29131",161,0.153 
"65058","29151",324,0.307 
"65059","29027",786,1 
"65061","29073",415,0.676 
"65061","29151",199,0.324 
"65062","29151",8,1 
"65063","29027",2837,1 
"65064","29131",627,1 
"65065","29029",4909,1 
"65066","29055",244,0.037 
"65066","29073",6276,0.963 
"65067","29027",412,1 
"65068","29053",625,1 
"65069","29027",73,0.098 
"65069","29139",674,0.902 
"65072","29131",308,0.191 
"65072","29141",1301,0.809 
"65074","29051",2068,0.732 
"65074","29131",6,0.002 
"65074","29135",753,0.266 
"65075","29131",790,1 
"65076","29051",666,0.747 
"65076","29151",225,0.253 
"65077","29027",554,1 
"65078","29015",33,0.01 
"65078","29141",3394,0.985 
"65078","29159",20,0.006 
"65079","29029",4233,0.92 
"65079","29141",369,0.08 
"65080","29027",762,1 
"65081","29053",68,0.016 
"65081","29135",3656,0.856 
"65081","29141",546,0.128 
"65082","29131",1171,1 
"65083","29131",292,1 
"65084","29135",40,0.006 
"65084","29141",6370,0.994 
"65085","29151",1061,1 
"65101","29051",27909,0.989 
"65101","29151",307,0.011 
"65109","29051",36467,1 
"65201","29019",34474,0.998 
"65201","29027",73,0.002 
"65202","29019",35354,0.987 
"65202","29027",480,0.013 
"65203","29019",45379,1 
"65230","29089",671,0.909 
"65230","29175",67,0.091 
"65231","29007",41,0.013 
"65231","29027",3035,0.987 
"65232","29007",220,1 
"65233","29053",11138,1 
"65236","29041",1460,1 
"65237","29053",915,1 
"65239","29175",1223,1 
"65240","29007",1124,0.159 
"65240","29019",5808,0.823 
"65240","29027",107,0.015 
"65240","29137",18,0.003 
"65243","29007",771,0.315 
"65243","29019",514,0.21 
"65243","29089",108,0.044 
"65243","29137",63,0.026 
"65243","29175",995,0.406 
"65244","29041",37,0.084 
"65244","29175",405,0.916 
"65246","29041",141,1 
"65247","29121",567,1 
"65248","29089",4596,1 
"65250","29089",650,1 
"65251","29027",21045,1 
"65254","29041",236,0.116 
"65254","29089",1794,0.884 
"65255","29019",2926,1 
"65256","29019",1386,0.913 
"65256","29089",132,0.087 
"65257","29089",272,0.174 
"65257","29175",1289,0.826 
"65258","29137",520,1 
"65259","29175",2714,1 
"65260","29121",46,0.083 
"65260","29137",18,0.032 
"65260","29175",492,0.885 
"65261","29041",1055,1 
"65262","29027",502,1 
"65263","29137",1889,0.985 
"65263","29175",28,0.015 
"65264","29007",724,0.82 
"65264","29027",131,0.148 
"65264","29139",28,0.032 
"65265","29007",15531,0.993 
"65265","29137",106,0.007 
"65270","29137",57,0.003 
"65270","29175",17242,0.997 
"65274","29089",1757,1 
"65275","29137",2772,1 
"65276","29053",1505,1 
"65278","29175",182,1 
"65279","29019",1249,0.849 
"65279","29089",222,0.151 
"65280","29007",193,1 
"65281","29041",3218,0.996 
"65281","29089",10,0.003 
"65281","29175",2,0.001 
"65282","29137",153,1 
"65283","29137",443,1 
"65284","29007",62,0.027 
"65284","29019",2243,0.973 
"65285","29007",738,1 
"65286","29041",198,1 
"65287","29053",276,0.809 
"65287","29135",65,0.191 
"65301","29159",31839,1 
"65305","29101",3819,1 
"65320","29195",91,1 
"65321","29107",77,0.162 
"65321","29195",398,0.838 
"65322","29053",671,1 
"65323","29083",932,1 
"65324","29015",5,0.003 
"65324","29029",1456,0.997 
"65325","29015",2880,0.998 
"65325","29159",5,0.002 
"65326","29015",1342,0.716 
"65326","29029",531,0.284 
"65327","29107",123,0.444 
"65327","29195",154,0.556 
"65329","29141",363,1 
"65330","29195",554,1 
"65332","29101",21,0.015 
"65332","29159",1419,0.985 
"65333","29159",728,0.853 
"65333","29195",125,0.147 
"65334","29159",767,1 
"65335","29015",182,0.641 
"65335","29159",102,0.359 
"65336","29101",5346,0.982 
"65336","29159",99,0.018 
"65337","29159",1941,1 
"65338","29015",2866,1 
"65339","29195",833,1 
"65340","29159",102,0.007 
"65340","29195",15478,0.993 
"65344","29195",321,1 
"65345","29015",146,0.301 
"65345","29141",114,0.235 
"65345","29159",225,0.464 
"65347","29053",42,0.058 
"65347","29159",99,0.137 
"65347","29195",581,0.805 
"65348","29053",1119,0.795 
"65348","29141",274,0.195 
"65348","29159",14,0.01 
"65349","29195",2737,1 
"65350","29141",108,0.072 
"65350","29159",1382,0.928 
"65351","29101",9,0.003 
"65351","29159",160,0.061 
"65351","29195",2445,0.935 
"65354","29053",35,0.134 
"65354","29141",227,0.866 
"65355","29015",9130,0.999 
"65355","29085",10,0.001 
"65360","29015",354,0.075 
"65360","29083",3572,0.756 
"65360","29101",295,0.062 
"65360","29159",501,0.106 
"65401","29065",59,0.002 
"65401","29125",265,0.01 
"65401","29161",27301,0.988 
"65436","29161",108,1 
"65438","29149",431,0.145 
"65438","29203",2537,0.855 
"65439","29093",310,1 
"65440","29065",418,0.659 
"65440","29093",2,0.003 
"65440","29179",214,0.338 
"65441","29055",4370,0.965 
"65441","29071",23,0.005 
"65441","29221",136,0.03 
"65443","29125",134,1 
"65444","29215",1054,1 
"65446","29055",376,1 
"65449","29055",369,0.816 
"65449","29161",83,0.184 
"65452","29131",135,0.046 
"65452","29169",2779,0.954 
"65453","29055",7862,0.987 
"65453","29073",100,0.013 
"65456","29055",619,1 
"65457","29169",163,1 
"65459","29125",1582,0.203 
"65459","29131",300,0.038 
"65459","29161",109,0.014 
"65459","29169",5802,0.745 
"65461","29161",38,0.458 
"65461","29169",45,0.542 
"65462","29065",137,0.103 
"65462","29161",1188,0.897 
"65463","29059",13,0.014 
"65463","29105",947,0.986 
"65464","29215",412,1 
"65466","29203",1621,1 
"65468","29215",35,1 
"65470","29105",870,0.873 
"65470","29215",16,0.016 
"65470","29229",110,0.11 
"65473","29169",13666,1 
"65479","29203",145,0.424 
"65479","29215",197,0.576 
"65483","29215",4636,1 
"65484","29215",182,1 
"65486","29131",3049,1 
"65501","29065",197,1 
"65529","29161",240,1 
"65532","29065",54,1 
"65534","29105",67,0.093 
"65534","29169",656,0.907 
"65535","29055",1564,1 
"65536","29029",55,0.002 
"65536","29059",180,0.007 
"65536","29105",26215,0.991 
"65540","29065",379,1 
"65541","29065",233,1 
"65542","29065",148,0.032 
"65542","29161",4,0.001 
"65542","29215",4498,0.967 
"65543","29105",191,0.685 
"65543","29229",88,0.315 
"65548","29091",4946,0.898 
"65548","29203",454,0.082 
"65548","29215",107,0.019 
"65550","29161",2809,0.885 
"65550","29169",366,0.115 
"65552","29105",37,0.026 
"65552","29169",115,0.08 
"65552","29215",1278,0.894 
"65555","29215",1095,1 
"65556","29029",896,0.177 
"65556","29105",641,0.127 
"65556","29169",3528,0.697 
"65557","29215",166,1 
"65559","29073",43,0.005 
"65559","29125",616,0.072 
"65559","29161",7862,0.923 
"65560","29055",154,0.011 
"65560","29065",12938,0.964 
"65560","29161",83,0.006 
"65560","29203",236,0.018 
"65560","29215",10,0.001 
"65564","29215",175,1 
"65565","29055",5171,0.979 
"65565","29093",43,0.008 
"65565","29221",66,0.012 
"65566","29093",915,1 
"65567","29029",1045,0.814 
"65567","29105",239,0.186 
"65570","29215",525,1 
"65571","29203",610,0.272 
"65571","29215",1632,0.728 
"65580","29125",801,1 
"65582","29125",2241,1 
"65583","29169",14045,1 
"65588","29149",40,0.016 
"65588","29203",2512,0.984 
"65589","29215",272,1 
"65590","29059",1565,1 
"65591","29029",834,1 
"65601","29039",16,0.021 
"65601","29057",190,0.244 
"65601","29167",573,0.736 
"65603","29057",175,1 
"65604","29057",124,0.033 
"65604","29077",2512,0.674 
"65604","29109",1093,0.293 
"65605","29009",1905,0.164 
"65605","29109",9687,0.833 
"65605","29209",38,0.003 
"65606","29149",3140,1 
"65608","29067",8882,0.98 
"65608","29153",64,0.007 
"65608","29213",115,0.013 
"65609","29091",140,0.186 
"65609","29153",612,0.814 
"65610","29043",3272,0.75 
"65610","29077",463,0.106 
"65610","29109",65,0.015 
"65610","29209",563,0.129 
"65611","29209",1904,0.973 
"65611","29213",52,0.027 
"65612","29077",1197,0.947 
"65612","29109",67,0.053 
"65613","29167",15120,1 
"65614","29043",51,0.101 
"65614","29213",454,0.899 
"65616","29209",1479,0.085 
"65616","29213",15860,0.915 
"65617","29077",475,0.345 
"65617","29167",902,0.655 
"65618","29153",158,1 
"65619","29043",147,0.035 
"65619","29077",4066,0.965 
"65620","29043",366,0.966 
"65620","29067",13,0.034 
"65622","29059",7559,0.958 
"65622","29167",334,0.042 
"65623","29009",39,1 
"65624","29209",395,1 
"65625","29009",7655,1 
"65626","29091",924,0.551 
"65626","29153",754,0.449 
"65627","29213",507,1 
"65629","29043",781,1 
"65630","29043",159,1 
"65631","29043",2070,0.821 
"65631","29209",451,0.179 
"65632","29059",508,0.183 
"65632","29105",1686,0.609 
"65632","29225",576,0.208 
"65633","29009",426,0.118 
"65633","29209",3179,0.882 
"65634","29015",17,0.024 
"65634","29085",696,0.976 
"65635","29039",74,0.13 
"65635","29057",497,0.87 
"65637","29067",262,0.225 
"65637","29091",254,0.219 
"65637","29153",646,0.556 
"65638","29067",375,0.812 
"65638","29153",87,0.188 
"65640","29039",124,0.163 
"65640","29167",639,0.837 
"65641","29009",1378,1 
"65644","29059",1516,0.604 
"65644","29225",993,0.396 
"65646","29057",1416,0.753 
"65646","29109",465,0.247 
"65647","29009",2186,0.983 
"65647","29119",37,0.017 
"65648","29059",796,0.178 
"65648","29077",3214,0.719 
"65648","29167",198,0.044 
"65648","29225",261,0.058 
"65649","29039",432,0.31 
"65649","29167",961,0.69 
"65650","29085",612,0.531 
"65650","29167",541,0.469 
"65652","29043",231,0.063 
"65652","29067",49,0.013 
"65652","29225",3410,0.924 
"65653","29043",57,0.012 
"65653","29213",4678,0.988 
"65655","29153",2955,1 
"65656","29009",201,0.035 
"65656","29209",5508,0.965 
"65657","29043",135,1 
"65658","29009",1019,1 
"65659","29167",357,1 
"65660","29215",20,0.093 
"65660","29229",195,0.907 
"65661","29057",2728,1 
"65662","29105",196,0.167 
"65662","29229",980,0.833 
"65663","29167",1906,1 
"65664","29109",39,1 
"65667","29229",3146,1 
"65668","29085",1628,1 
"65669","29043",1437,0.879 
"65669","29209",197,0.121 
"65672","29213",7803,1 
"65674","29039",670,0.27 
"65674","29085",95,0.038 
"65674","29167",1659,0.669 
"65674","29185",55,0.022 
"65675","29209",106,1 
"65676","29153",549,1 
"65679","29213",2393,1 
"65680","29213",960,1 
"65681","29209",2261,1 
"65682","29057",1918,0.958 
"65682","29109",84,0.042 
"65685","29059",795,0.822 
"65685","29167",172,0.178 
"65686","29209",4356,1 
"65689","29067",266,0.056 
"65689","29091",23,0.005 
"65689","29215",4466,0.939 
"65690","29149",494,1 
"65692","29091",321,0.272 
"65692","29149",859,0.728 
"65701","29213",25,1 
"65702","29067",99,0.211 
"65702","29229",371,0.789 
"65704","29067",298,0.08 
"65704","29229",3441,0.92 
"65705","29109",3405,0.912 
"65705","29209",328,0.088 
"65706","29225",12907,1 
"65707","29109",2117,1 
"65708","29009",7436,0.657 
"65708","29109",3889,0.343 
"65710","29167",1129,1 
"65711","29067",541,0.057 
"65711","29215",1506,0.159 
"65711","29229",7416,0.784 
"65712","29109",7114,1 
"65713","29225",2137,0.889 
"65713","29229",266,0.111 
"65714","29043",20633,0.982 
"65714","29209",377,0.018 
"65715","29153",146,1 
"65717","29067",578,0.243 
"65717","29229",1796,0.757 
"65720","29043",270,0.583 
"65720","29067",193,0.417 
"65721","29043",18575,0.972 
"65721","29077",542,0.028 
"65722","29059",80,0.053 
"65722","29105",1424,0.947 
"65723","29009",338,0.092 
"65723","29109",2810,0.767 
"65723","29145",514,0.14 
"65724","29085",1330,0.972 
"65724","29167",39,0.028 
"65725","29077",891,0.385 
"65725","29167",1425,0.615 
"65727","29085",7,0.045 
"65727","29167",150,0.955 
"65728","29043",20,0.183 
"65728","29209",89,0.817 
"65729","29153",223,1 
"65730","29119",158,1 
"65731","29213",346,1 
"65732","29085",815,1 
"65733","29213",308,1 
"65734","29009",3220,1 
"65734","29145",1,0 
"65735","29015",8,0.042 
"65735","29085",115,0.602 
"65735","29185",68,0.356 
"65737","29043",15,0.002 
"65737","29209",6128,0.968 
"65737","29213",187,0.03 
"65738","29043",174,0.015 
"65738","29077",11052,0.982 
"65738","29109",33,0.003 
"65739","29213",1072,1 
"65740","29213",2649,1 
"65742","29043",1258,0.144 
"65742","29077",4321,0.494 
"65742","29225",3161,0.362 
"65744","29213",144,1 
"65745","29009",2360,1 
"65746","29067",367,0.053 
"65746","29225",6452,0.926 
"65746","29229",146,0.021 
"65747","29009",2286,0.638 
"65747","29209",1299,0.362 
"65752","29057",419,0.877 
"65752","29109",59,0.123 
"65753","29043",3897,0.996 
"65753","29067",17,0.004 
"65754","29043",737,1 
"65755","29067",334,0.715 
"65755","29153",133,0.285 
"65756","29109",790,1 
"65757","29077",4714,0.804 
"65757","29225",1148,0.196 
"65759","29213",1164,1 
"65760","29153",624,1 
"65761","29153",1076,0.933 
"65761","29213",77,0.067 
"65762","29153",453,1 
"65764","29059",1265,1 
"65766","29153",148,1 
"65767","29059",1184,0.613 
"65767","29085",670,0.347 
"65767","29167",77,0.04 
"65768","29067",383,1 
"65769","29009",880,0.282 
"65769","29109",2241,0.718 
"65770","29057",116,0.042 
"65770","29077",2052,0.745 
"65770","29167",585,0.212 
"65771","29213",896,1 
"65772","29009",1746,0.754 
"65772","29119",569,0.246 
"65773","29153",778,1 
"65774","29085",1028,0.937 
"65774","29185",69,0.063 
"65775","29067",234,0.01 
"65775","29091",22328,0.979 
"65775","29149",246,0.011 
"65777","29091",337,1 
"65778","29149",551,1 
"65779","29085",1913,1 
"65781","29077",6075,0.964 
"65781","29167",225,0.036 
"65783","29059",153,1 
"65784","29153",34,1 
"65785","29039",4954,0.979 
"65785","29057",7,0.001 
"65785","29185",101,0.02 
"65786","29029",2017,0.977 
"65786","29059",47,0.023 
"65787","29029",1104,1 
"65788","29091",427,0.955 
"65788","29149",20,0.045 
"65789","29091",1889,1 
"65790","29091",544,0.842 
"65790","29153",102,0.158 
"65791","29149",4267,1 
"65793","29067",193,0.032 
"65793","29091",5105,0.848 
"65793","29215",721,0.12 
"65802","29077",39272,1 
"65803","29077",38453,1 
"65804","29077",35482,1 
"65806","29077",11073,1 
"65807","29077",49132,1 
"65809","29077",9501,1 
"65810","29077",15904,1 
"72644","29213",13,1 
