BRANCH_NAME,AGENCY_NO,BRANCH_NO,BUSINESS_ADDRESS1,BUSINESS_ADDRESS2,BUSINESS_CITY,BUSINESS_STATE,BUSINESS_ZIP
"CC Services, Inc. - Stephen De Clerck - 04876",2041,38,1125 Sunset Dr,PO Box 336,Vandalia,IL,62471
Missouri Farm Bureau - Daniel Shurley - MEM1195,398,190,100 Marshall Rd.,,Platte City,MO,64079
Daniel Boone Agency - Terry Telford - AC96201,92,234,212 S. Neosho Blvd,,Neosho,MO,64850
Missouri Farm Bureau - Michael Scott - MEM1092,398,188,"2907 Independence St., Suite E",,Cape Girardeau,MO,63703
Daniel Boone Agency - Deric Farran - AD73101,92,274,100 W 17th St; Ste E,,Mt Grove,MO,65711
"David D. Brown Insurance Agency, Inc. (1)",522,1,17014 New College Ave,Ste 204,Wildwood,MO,63040
American Family - Michael Scott - 158177,2053,347,343 W Woodbine Ave,,Saint Louis,MO,631224130
American Family - Tony Osborn - 065188,2053,288,6510 N Oak Trfy,,Kansas City,MO,641183329
American Family - Virgil Melton - 240160,2053,256,Po Box 120,,Imperial,MO,630520120
"First State Insurance Agency, Inc. (1)",179,1,204 E. Liberty St.,,Farmington,MO,63640
American Family - Glennon Beckmann - 233164,2053,18,19055 Old Jamestown Rd,,Florissant,MO,630341208
"Monroe Insurance Agency, LLC",1154,1,5104 Aulsbury Chapel Rd.,,Bonne Terre,MO,63628
American Family - Brandon Self - 351168,2053,349,952 N. Oakwood Ave.,,Republic,MO,65738
"Fiat Insurance & Risk Management, Inc. (1)",2431,1,14019 Benson,,Overland Park,KS,66221
American Family - Dwight Stroad - 234165,2053,374,218 S Mill St,,Eldon,MO,650261864
Missouri Farm Bureau - Katie Lister - MEM1418,398,375,949 S. Country Club Dr.,,Jefferson City,MO,65109
Daniel Boone Agency - Wes Doran - A488401,92,39,404 N. 3rd St.,,Ozark,MO,65721
Daniel Boone Agency - Clint Miller - A639901,92,50,"1408 I-70 Drive SW, Ste105",,Columbia,MO,65203
Missouri Farm Bureau - Kevin Cheffey - MEM541,398,41,611 W. Mt. Vernon St.,Suite D,Nixa,MO,65714
Missouri Farm Bureau - Connie Maxwell Cox - MEM1250,398,268,113 E. Jackson St.,,Mexico,MO,65265
Daniel Boone Agency - Hazel Otto - AC89501,92,227,700 A West Washington,,Richland,MO,65556
Missouri Farm Bureau - Keith Roach - MEM1272,398,290,408 W. Main St.,,Fredericktown,MO,63645
Missouri Farm Bureau - Clark Turner - MEM1046,398,215,216 S. Church St.,,Union,MO,63084
"CC Services, Inc. - Rhonda Carter - 11503",2041,26,11 W Business Hwy 60,PO Box 765,Dexter,MO,63841
American Family - Justin Sifford - 251170,2053,487,Po Box 2047,,Branson West,MO,657372047
American Family - Patrick Kelly - 118657,2053,529,15301 W 87th St,Ste 255,Lenexa,KS,66219
"CC Services, Inc. - Jon Grossi - 18071",2041,258,8282 S. Memorial Dr.,Suite 204,Tulsa,OK,74133
American Family - Kimberly Clay - 232160,2053,52,Po Box 84,,Piedmont,MO,639570084
"Livestock Marketing Insurance Agency, Inc. (1)",127,1,10510 Ambassador Dr.,,Kansas City,MO,64153
American Family - Gary Henderson - 039190,2053,151,3550 Mckelvey Rd #103,,Bridgeton,MO,630442535
"PayneWest Insurance, Inc. (1)",2502,1,2925 Palmer,Ste B,Missoula,MT,59808
"CC Services, Inc. - Aaron Weisenborn - 19235",2041,227,281 Clarkson Rd,Ste 102,Ellisville,MO,63011
Bearence Management Group LLC (1),2589,1,1045 76th St,Ste 4000,West Des Moines,IA,50266
"CC Services, Inc. - Wayne Schafer - 04272",2041,179,116 W Pearl,Ste 101,Jerseyville,IL,62052
American Family - Mike Amin - 003802,2053,528,3137 N Lewis Ave,,Waukegan,IL,60087
American Family - Thomas Fischer - 235164,2053,109,7440 N Lindbergh Blvd,,Hazelwood,MO,630422121
Missouri Farm Bureau - Mike Sansagraw - MEM1101,398,185,406 W. Washington St.,,Jackson,MO,63755
Daniel Boone Agency - Travis Farran - AD44001,92,253,703 E Highway 54,,El Dorado Springs,MO,64744
Daniel Boone Agency - Troy Lowrey - AC63901,92,210,"P.O. Box 315, 305 E Broadway",,Ashland,MO,65010
American Family - Bill Mangini - 297171,2053,238,Po Box 236,,Kirksville,MO,635010236
Daniel Boone Agency - Harley Kropf - A991701,92,82,111 S. Center St.,,Shelbina,MO,63468
American Family - Tim Davis - 016187,2053,73,180 Weidman Rd Ste 131,,Manchester,MO,630214142
Missouri Farm Bureau - Brandi Dukes - MEM1163,398,74,14 E 19th St.  Ste 101,,Higginsville,MO,64037
Missouri Farm Bureau - Marty Galloway - MEM1058,398,80,3512 I-70 Dr. Se#A,,Columbia,MO,65202
Kirnco Insurance Group,990,1,14394 Manchester Rd.,Suite 200,Manchester,MO,63011
"Willis Insurance Agency, Inc. dba Shell Knob Insurance Agency",77,2,Lots 14-16 Bridgeway Plaza Center,,Shell Knob,MO,65747
Missouri Farm Bureau - Steven Shead - MEM1353,398,371,7 NW 72nd Street,,Gladstone,MO,64118
